id,name,bic,street,city,zip,country:id
BRINIDJA079,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (RABA-BIMA BRANCH)",BRINIDJA079,,RABA-BIMA,,base.id
BRINIDJA082,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (SAMARINDA BRANCH)",BRINIDJA082,,SAMARINDA,,base.id
BRINIDJA083,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (PATTIMURA BRANCH)",BRINIDJA083,,SEMARANG,,base.id
BRINIDJA086,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (SIDOARJO BRANCH)",BRINIDJA086,,SIDOARJO,,base.id
BRINIDJA092,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (SUKABUMI BRANCH)",BRINIDJA092,,SUKABUMI,,base.id
BRINIDJA096,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (KALIASIN BRANCH)",BRINIDJA096,,SURABAYA,,base.id
BRINIDJA097,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (SLAMET RIYADI BRANCH)",BRINIDJA097,,SOLO,,base.id
BRINIDJA098,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (TANJUNG KARANG BRANCH)",BRINIDJA098,,TANJUNG KARANG,,base.id
BRINIDJA101,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (TEGAL BRANCH)",BRINIDJA101,,TEGAL,,base.id
BRINIDJA103,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (TERNATE BRANCH)",BRINIDJA103,,TERNATE,,base.id
BRINIDJA107,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (CIREBON BRANCH)",BRINIDJA107,,CIREBON,,base.id
BRINIDJA113,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (PEMATANG SIANTAR BRANCH)",BRINIDJA113,,PEMATANG SIANTAR,,base.id
BRINIDJA120,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (TANGERANG BRANCH)",BRINIDJA120,,TANGERANG,,base.id
BRINIDJA122,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (JATINEGARA BRANCH)",BRINIDJA122,,JAKARTA,,base.id
BRINIDJA127,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (KOTABARU BRANCH)",BRINIDJA127,,KOTABARU,,base.id
BRINIDJA130,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (METRO BRANCH)",BRINIDJA130,,METRO,,base.id
BRINIDJA131,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (TANJUNG PANDAN BRANCH)",BRINIDJA131,,TANJUNG PANDAN,,base.id
BRINIDJA159,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (DUMAI BRANCH)",BRINIDJA159,,DUMAI,,base.id
BRINIDJA163,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (SAMPIT BRANCH)",BRINIDJA163,,SAMPIT,,base.id
BRINIDJA167,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (LUWUK BRANCH)",BRINIDJA167,,LUWUK,,base.id
BRINIDJA170,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (PEKANBARU BRANCH)",BRINIDJA170,,PEKANBARU,,base.id
BRINIDJA172,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (RAJAWALI BRANCH)",BRINIDJA172,,SURABAYA,,base.id
BRINIDJA174,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (TANJUNG PINANG BRANCH)",BRINIDJA174,,TANJUNG PINANG,,base.id
BRINIDJA175,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (TEMBILAHAN BRANCH)",BRINIDJA175,,TEMBILAHAN,,base.id
BRINIDJA186,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (TANJUNG PRIOK BRANCH)",BRINIDJA186,,JAKARTA,,base.id
BRINIDJA189,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (BENGKALIS BRANCH)",BRINIDJA189,,BENGKALIS,,base.id
BRINIDJA192,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (KENDARI BRANCH)",BRINIDJA192,,KENDARI,,base.id
BRINIDJA193,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (KEBAYORAN BARU BRANCH)",BRINIDJA193,,JAKARTA,,base.id
BRINIDJA206,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (KCK - SPECIAL BRANCH)",BRINIDJA206,,JAKARTA,,base.id
BRINIDJA211,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (PAHLAWAN BRANCH)",BRINIDJA211,,SURABAYA,,base.id
BRINIDJA230,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (CUT MUTIAH BRANCH)",BRINIDJA230,,JAKARTA,,base.id
BRINIDJA261,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (KREKOT BRANCH)",BRINIDJA261,,JAKARTA,,base.id
BRINIDJA282,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (PANGKALAN BUN BRANCH)",BRINIDJA282,,PANGKALAN BUN,,base.id
BRINIDJA283,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (TEBINGTINGGI BRANCH)",BRINIDJA283,,TEBINGTINGGI,,base.id
BRINIDJA284,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (RENGAT BRANCH)",BRINIDJA284,,RENGAT,,base.id
BRINIDJA285,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (TELUK BETUNG BRANCH)",BRINIDJA285,,TELUK BETUNG,,base.id
BRINIDJA286,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (DEWI SARTIKA BRANCH)",BRINIDJA286,,BANDUNG,,base.id
BRINIDJA308,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (BIAK BRANCH)",BRINIDJA308,,BIAK,,base.id
BRINIDJA317,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (DILI BRANCH)",BRINIDJA317,,DILI,,base.id
